"region","point_id","supabase_id","point_name","lat","lng","db_environment_status","db_environment_json","normalized_environment_json","terrain","exposure","breakwater_shelter","onshore_wind_sensitivity","east_wind_sensitivity","swell_sensitivity","exposure_direction","point_type","parking","toilet","shower","point_feature","snorkeling_info","warnings","notes"
"강릉","base_8_강릉","8","강문해변","37.7954069393979","128.919356186753","NULL","null","{""terrain"":""unknown"",""exposure"":""medium"",""breakwaterShelter"":""medium"",""onshoreWindSensitivity"":""medium"",""eastWindSensitivity"":""medium"",""swellSensitivity"":""medium"",""exposureDirection"":""unknown""}","unknown","medium","medium","medium","medium","medium","unknown","","공영주차장","공영화장실","있음 ( 346커피스토리 검색)","강릉 도심에서 접근하기 쉬운 넓은 백사장 해변. 맑고 파도가 잔잔한 날에는 가볍게 스노클링과 물놀이를 즐기기 좋으며, 주변에 주차장·화장실·샤워시설과 상업시설이 잘 갖춰져 있어 초보자나 가족 단위 방문에 편리하다. 모래 해변 중심으로 수중 볼거리는 비교적 단순한 편","","",""
"강릉","base_10_강릉","10","금진 옥계 해변","37.6289009310514","129.050662425201","NULL","null","{""terrain"":""unknown"",""exposure"":""medium"",""breakwaterShelter"":""medium"",""onshoreWindSensitivity"":""medium"",""eastWindSensitivity"":""medium"",""swellSensitivity"":""medium"",""exposureDirection"":""unknown""}","unknown","medium","medium","medium","medium","medium","unknown","","공영주차장","공영화장실","없음","한적한 백사장과 양쪽 암반 지형이 어우러진 강릉 남부 해변. 파도가 낮고 물이 맑은 날 암반 주변을 중심으로 스노클링을 즐기기 좋다","","",""
"강릉","base_7_강릉","7","사근진해변주차장","37.808","128.909","NULL","null","{""terrain"":""unknown"",""exposure"":""medium"",""breakwaterShelter"":""medium"",""onshoreWindSensitivity"":""medium"",""eastWindSensitivity"":""medium"",""swellSensitivity"":""medium"",""exposureDirection"":""unknown""}","unknown","medium","medium","medium","medium","medium","unknown","","공영주차장","공영화장실","온수샤워","경포해변 북쪽에 이어지는 비교적 한적한 해변. 넓은 백사장과 해안 송림이 어우러져 있으며, 맑고 파도가 잔잔한 날에는 가벼운 물놀이와 스노클링을 즐기기 좋다. 모래 해변 중심이라 암반 지형을 탐색하는 스노클링보다는 편안하게 입수해 바다를 즐기는 타입의 포인","","",""
"강릉","base_6_강릉","6","사천진 바위섬","37.8408585535528","128.877587380548","partial","{""terrain"":""mixed"",""exposure"":""high"",""swellSensitivity"":""high"",""breakwaterShelter"":""low"",""eastWindSensitivity"":""high""}","{""terrain"":""mixed"",""exposure"":""high"",""breakwaterShelter"":""low"",""onshoreWindSensitivity"":""high"",""eastWindSensitivity"":""high"",""swellSensitivity"":""high"",""exposureDirection"":""unknown""}","mixed","high","low","high","high","high","unknown","","공영주차장 & 갓길","공영화장실","편의점 유료 샤워가능","사천진해변의 상징인 바위섬 주변 암반 포인트. 맑고 잔잔한 날 다양한 수중 지형과 작은 물고기를 관찰하며 스노클링하기 좋다","","",""
"강릉","base_2_강릉","2","소돌방파제","37.9027557731503","128.830918630599","NULL","null","{""terrain"":""unknown"",""exposure"":""medium"",""breakwaterShelter"":""medium"",""onshoreWindSensitivity"":""medium"",""eastWindSensitivity"":""medium"",""swellSensitivity"":""medium"",""exposureDirection"":""unknown""}","unknown","medium","medium","medium","medium","medium","unknown","","공영주차장","공영화장실","확인 필요","항구 우측 갯바위 포인트","","",""
"강릉","base_1_강릉","1","소돌아들바위공원","37.892","128.829","partial","{""terrain"":""rock"",""exposure"":""low"",""swellSensitivity"":""low"",""breakwaterShelter"":""high"",""eastWindSensitivity"":""low""}","{""terrain"":""rock"",""exposure"":""low"",""breakwaterShelter"":""high"",""onshoreWindSensitivity"":""low"",""eastWindSensitivity"":""low"",""swellSensitivity"":""low"",""exposureDirection"":""unknown""}","rock","low","high","low","low","low","unknown","","있음","공영화장실","확인 필요","","","",""
"강릉","base_5_강릉","5","순포해변","37.8216967200687","128.889340970768","NULL","null","{""terrain"":""unknown"",""exposure"":""medium"",""breakwaterShelter"":""medium"",""onshoreWindSensitivity"":""medium"",""eastWindSensitivity"":""medium"",""swellSensitivity"":""medium"",""exposureDirection"":""unknown""}","unknown","medium","medium","medium","medium","medium","unknown","","순포습지 주차장& 해안도로 갓길","공영화장실","확인 필요","경포와 사천 사이에 자리한 비교적 한적한 해변. 고운 모래와 완만하고 얕은 수심이 특징이며, 해변 뒤편의 울창한 송림과 자연스러운 분위기가 매력적이다. 관광객이 많은 유명 해변에 비해 조용하게 물놀이와 스노클링을 즐기기 좋다.","","",""
"강릉","base_11_강릉","11","심곡항","37.6645985087728","129.054947803353","partial","{""terrain"":""rock"",""exposure"":""high"",""swellSensitivity"":""high"",""breakwaterShelter"":""low"",""eastWindSensitivity"":""high""}","{""terrain"":""rock"",""exposure"":""high"",""breakwaterShelter"":""low"",""onshoreWindSensitivity"":""high"",""eastWindSensitivity"":""high"",""swellSensitivity"":""high"",""exposureDirection"":""unknown""}","rock","high","low","high","high","high","unknown","","공영주차장","공영화장실","없음","헌화로 아래 자리한 작은 항구로, 방파제와 자연 암반이 어우러진 포인트. 바다가 잔잔하고 시야가 좋은 날에는 암초 주변의 다양한 수중지형과 어종을 관찰하며 스노클링하기 좋다. 외해와 가까워 너울과 파도의 영향을 받기 쉬우므로 입수 전 해상 컨디션 확인이 중요","","",""
"강릉","base_9_강릉","9","안목해변","37.7729853522053","128.94924202064","NULL","null","{""terrain"":""unknown"",""exposure"":""medium"",""breakwaterShelter"":""medium"",""onshoreWindSensitivity"":""medium"",""eastWindSensitivity"":""medium"",""swellSensitivity"":""medium"",""exposureDirection"":""unknown""}","unknown","medium","medium","medium","medium","medium","unknown","","공영주차장","안목여행자센터 화장실","시즌 유료","강릉항과 커피거리 바로 앞에 위치한 접근성 좋은 해변. 넓은 백사장을 중심으로 맑고 잔잔한 날에는 가벼운 물놀이와 스노클링을 즐기기 좋다. 주변에 주차장·화장실·카페·식당 등 편의시설이 풍부해 초보자와 가족 단위 방문이 편리하다. 다만 모래 지형 비중이 높아 암반을 탐색하는 스노클링 포인트에 비해 수중 볼거리는 단순한 편","","",""
"강릉","base_4_강릉","4","영진해변","37.8693536507163","128.846296158485","NULL","null","{""terrain"":""unknown"",""exposure"":""medium"",""breakwaterShelter"":""medium"",""onshoreWindSensitivity"":""medium"",""eastWindSensitivity"":""medium"",""swellSensitivity"":""medium"",""exposureDirection"":""unknown""}","unknown","medium","medium","medium","medium","medium","unknown","","공영주차장","공영화장실","확인 필요","한적한 백사장과 암반이 어우러진 해변. 잔잔하고 맑은 날 암반 주변에서 가볍게 스노클링하기 좋은 포인트","","",""
